Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,76.07907165698902,124.00256407433565,4.676720882127688,2.200000000000002e-2,3.9276108000374824e-4,"cx0_1: 1.235e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q1,89.31527287456919,86.28220990234826,4.782677627065311,3.049999999999997e-2,4.56402215861939e-4,"cx1_0: 1.235e-2, cx1_2: 1.734e-2, cx1_6: 1.251e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q2,66.59700788320835,104.11962072791881,4.685360607498884,4.150000000000009e-2,1.1101614276592437e-3,"cx2_1: 1.734e-2, cx2_3: 1.611e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q3,93.25522239481998,63.773845337112334,4.716938466004144,2.950000000000008e-2,8.85659227658391e-4,"cx3_2: 1.611e-2, cx3_4: 2.112e-2, cx3_8: 1.550e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q4,62.041368104236376,63.2290902094404,4.564591181756234,4.400000000000004e-2,3.432290168281036e-4,"cx4_3: 2.112e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q5,135.92519391217343,89.26221935989602,4.309371145790719,6.399999999999995e-2,3.2840648199853104e-4,"cx5_6: 1.000e+0, cx5_10: 8.833e-3",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q6,82.88428949586181,76.393762576398,4.662585541988669,3.400000000000003e-2,4.2404987185486567e-4,"cx6_1: 1.251e-2, cx6_5: 1.000e+0, cx6_7: 1.224e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q7,79.88363087667916,99.28082121266571,4.830996413891029,2.100000000000002e-2,4.725744501400331e-4,"cx7_6: 1.224e-2, cx7_8: 1.981e-2, cx7_12: 1.739e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q8,88.11535755725009,139.80257585307604,4.623110188869258,3.049999999999997e-2,7.170891211529573e-4,"cx8_3: 1.550e-2, cx8_7: 1.981e-2, cx8_9: 1.647e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q9,80.09206619830229,91.26930180333653,4.6976982414049635,2.9000000000000026e-2,2.6217983086852624e-4,"cx9_8: 1.647e-2, cx9_14: 7.243e-3",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q10,98.16564391085195,121.32313157886688,4.424210595535147,5.0999999999999934e-2,3.1056195767668437e-4,"cx10_5: 8.833e-3, cx10_11: 1.003e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q11,74.157607999873,82.36747124185317,4.521510609536974,3.300000000000003e-2,4.886342919242859e-4,"cx11_10: 1.003e-2, cx11_12: 1.643e-2, cx11_16: 1.340e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q12,76.22487299892252,113.10729590257846,4.603507180117931,6.25e-2,5.351770572800903e-3,"cx12_7: 1.739e-2, cx12_11: 1.643e-2, cx12_13: 2.594e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q13,66.4757289794454,81.36893696138763,4.624352798447283,3.600000000000003e-2,3.8122099259865e-3,"cx13_12: 2.594e-2, cx13_14: 3.099e-2, cx13_18: 7.491e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q14,71.48727477498113,121.43658367034904,4.7576192058199585,4.6499999999999986e-2,3.18964787954812e-4,"cx14_9: 7.243e-3, cx14_13: 3.099e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q15,92.02065943469997,173.9032876962235,4.4884974424104795,4.0999999999999925e-2,3.647166062912241e-4,"cx15_16: 9.387e-3",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q16,50.41717207990108,30.633498246343315,4.738443742072184,2.8000000000000025e-2,3.7247962092311137e-4,"cx16_11: 1.340e-2, cx16_15: 9.387e-3, cx16_17: 1.232e-2",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q17,88.98631835044432,111.43336109475244,4.882586932644858,4.499999999999993e-2,3.214738526445808e-4,"cx17_16: 1.232e-2, cx17_18: 1.000e+0",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q18,123.55817916134345,32.47738129827912,4.5278690201584,2.3449999999999993e-1,6.635451760417333e-3,"cx18_13: 7.491e-2, cx18_17: 1.000e+0, cx18_19: 1.000e+0",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
Q19,126.15073189028787,66.11360998555023,4.697658100701739,3.249999999999997e-2,1.1491986900825357e-3,"cx19_18: 1.000e+0",Fri May 08 2020 21:52:31 GMT+0300 (EEST)
